Characteristics,n (%)
"Age, years",
   18-25,160 (29.74%)
   26-30,116 (21.56%)
   31-35,113 (21.00%)
   36-40,61 (11.34%)
   > 40,84 (15.61%)
   Unknown,4 (0.74%)
Gender,
   Male,276 (51.30%)
   Female,255 (47.40%)
   Prefer not to say,2 (0.37%)
   Not reported,5 (0.93%)
Education level,
   High school or less,117 (21.75%)
   University/college,226 (42.01%)
   Postgraduate,188 (34.94%)
   Other,7 (1.30%)
