term,B,SE,t,p
Intercept,3.512,0.266,13.2009,0.0
personalization,0.2106,0.1654,1.2737,0.2033
warmth,0.0681,0.1643,0.4146,0.6786
Chatbot_Experience,0.0841,0.0584,1.4414,0.1501
personalization:warmth,-0.5421,0.2328,-2.3291,0.0202
